% Moku:Pro Data Logger
% Input 1, DC coupling, 1 MOhm impedance, 400 mVpp range
% Input 2, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 3, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 4, DC coupling, 1 MOhm impedance, 4 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode, trigger: Input 2, level: 0.000 V
% Output 1 (on) - Sine, 1.000 000 Hz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Output 3 (off) - Square, 80.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Output 4 (off) - Pulse, 10.000 000 000 kHz, 200.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, width 1.000 us, edge 2.000 ns, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2024-09-17 T 00:26:28 +1000
% Time (s), Input 1 (V), Input 2 (V), Input 3 (V), Input 4 (V)
0.0000000000e+00, -3.0006673679e-03, -2.0526812278e-02, 8.7600337793e-06, 4.3868606660e-05
1.0000000000e-03, -3.0102212795e-03, -1.4259281860e-02, 6.8437763900e-06, 4.9138314481e-05
2.0000000000e-03, -3.0268174368e-03, -8.0634742183e-03, 1.1223793280e-05, 4.8317061314e-05
3.0000000000e-03, -2.9804919156e-03, -1.8191442022e-03, 2.7375105560e-07, 4.5305799702e-05
4.0000000000e-03, -2.9763035246e-03, 4.4823997844e-03, 8.2125316681e-06, 4.8317061314e-05
5.0000000000e-03, -3.0047120396e-03, 1.0787913161e-02, 1.1634419863e-06, 4.5579550758e-05
6.0000000000e-03, -2.9832294261e-03, 1.7059892034e-02, 9.5812869461e-06, 4.4347671007e-05
7.0000000000e-03, -3.0027341883e-03, 2.3325848383e-02, 7.0490896817e-06, 3.9351714243e-05
8.0000000000e-03, -2.9878968815e-03, 2.9533085131e-02, 3.3534504311e-06, 4.4484546535e-05
9.0000000000e-03, -2.9846392440e-03, 3.5772898255e-02, 1.0539415641e-05, 4.4895173119e-05
1.0000000000e-02, -2.9958219743e-03, 4.2082517898e-02, 8.9653470710e-06, 4.3184229021e-05
1.1000000000e-02, -3.0122812561e-03, 4.8403840398e-02, 8.9653470710e-06, 3.5177010645e-05
1.2000000000e-02, -3.0031516586e-03, 5.4634277548e-02, 6.5015875705e-06, 4.6606117216e-05
1.3000000000e-02, -3.0285762873e-03, 6.0878607564e-02, 4.1062658340e-06, 5.0096443175e-05
1.4000000000e-02, -3.0241483641e-03, 6.7147917364e-02, 1.6425063336e-06, 3.8188272256e-05
1.5000000000e-02, -2.9951923469e-03, 7.3420580614e-02, 8.6231582515e-06, 4.4826735355e-05
1.6000000000e-02, -3.0088319929e-03, 7.9696392002e-02, 8.1440939041e-06, 5.0780820814e-05
1.7000000000e-02, -3.0443922541e-03, 8.5962622102e-02, 1.1292231044e-05, 4.6332366161e-05
1.8000000000e-02, -3.0110904391e-03, 9.2211400573e-02, 7.1859652095e-06, 4.0583593993e-05
1.9000000000e-02, -3.0157442069e-03, 9.8383665624e-02, 5.3381455842e-06, 4.8385499078e-05
2.0000000000e-02, -3.0275223457e-03, 1.0458652235e-01, 1.2387235266e-05, 4.1883911507e-05
2.1000000000e-02, -3.0186596555e-03, 1.1086014373e-01, 3.5587637228e-06, 4.0925782812e-05
2.2000000000e-02, -3.0044588199e-03, 1.1713971920e-01, -6.8437763900e-07, 4.0857345049e-05
2.3000000000e-02, -2.9966706026e-03, 1.2334469750e-01, 7.8019050846e-06, 4.9548941064e-05
2.4000000000e-02, -3.0513249994e-03, 1.2965650715e-01, 4.0378280701e-06, 5.3176142551e-05
2.5000000000e-02, -3.0082981784e-03, 1.3592082099e-01, 7.3912785012e-06, 4.2089224799e-05
2.6000000000e-02, -3.0035554414e-03, 1.4215064220e-01, 5.8856476954e-06, 5.0370194231e-05
2.7000000000e-02, -3.0214313849e-03, 1.4837074525e-01, 6.2278365149e-06, 4.3389542313e-05
2.8000000000e-02, -3.0319502689e-03, 1.5457688700e-01, 9.1022225988e-06, 3.6819516978e-05
2.9000000000e-02, -3.0192824392e-03, 1.6076338710e-01, 2.8059483199e-06, 4.2431413618e-05
3.0000000000e-02, -3.0325935839e-03, 1.6690300734e-01, 1.3619115016e-05, 4.4210795480e-05
3.1000000000e-02, -3.0226427333e-03, 1.7304283289e-01, 9.3075358905e-06, 4.8796125661e-05
3.2000000000e-02, -2.9916130520e-03, 1.7923597146e-01, 1.0060351293e-05, 4.1815473743e-05
3.3000000000e-02, -3.0247506164e-03, 1.8545600607e-01, 7.5965917929e-06, 5.0849258578e-05
3.4000000000e-02, -3.0487175207e-03, 1.9159418911e-01, 1.5261621350e-05, 4.6674554980e-05
3.5000000000e-02, -3.0232792045e-03, 1.9776241633e-01, 1.2934737377e-05, 4.8727687897e-05
3.6000000000e-02, -3.0274196891e-03, 2.0391134411e-01, 1.0334102349e-05, 4.9343627772e-05
3.7000000000e-02, -3.0367888187e-03, 2.1007744976e-01, 5.4065833481e-06, 4.7632683675e-05
3.8000000000e-02, -3.0098927782e-03, 2.1621289529e-01, 6.9806519178e-06, 4.4826735355e-05
3.9000000000e-02, -3.0157784258e-03, 2.2234957271e-01, 4.1062658340e-06, 3.9967654118e-05
4.0000000000e-02, -3.0025083437e-03, 2.2845476875e-01, 1.3687552780e-06, 4.7564245911e-05
4.1000000000e-02, -3.0182079663e-03, 2.3447113257e-01, 5.8856476954e-06, 4.4826735355e-05
